idSocios;Nombre;Edad;Equipo;EstadoCivil;Estudios
1;Agustín;39;San Lorenzo;Soltero;Terciario
2;Anibal;22;Velez;Casado;Universitario
3;Nicolás;24;Huracán;Soltero;Secundario
4;Mariano;44;Velez;Soltero;Terciario
5;Juan;43;San Lorenzo;Casado;Terciario
6;Agustín;48;San Lorenzo;Soltero;Universitario
7;Luis;67;Gimnasia LP;Soltero;Secundario
8;Matías;22;Velez;Soltero;Secundario
9;Enrique;67;Estudiantes;Soltero;Terciario
10;Mauro;66;Huracán;Casado;Secundario
11;Mauro;40;Boca;Casado;Terciario
12;Daniel;38;River;Soltero;Terciario
13;Luis;69;Newells;Soltero;Secundario
14;Nicolás;68;River;Soltero;Terciario
15;Nicolás;33;River;Casado;Terciario
16;Mauro;31;Racing;Casado;Secundario
17;Federico;63;Racing;Soltero;Terciario
18;Enrique;32;Velez;Soltero;Secundario
19;Mauro;43;Velez;Casado;Secundario
20;Martín;54;Huracán;Casado;Secundario
21;Luis;27;Huracán;Soltero;Terciario
22;Daniel;56;River;Casado;Terciario
23;Enrique;60;Newells;Soltero;Secundario
24;Mauro;21;Gimnasia LP;Soltero;Terciario
25;Alejandro;55;Velez;Soltero;Universitario
26;Marcelo;61;Gimnasia LP;Soltero;Universitario
27;Alejo;34;Gimnasia LP;Soltero;Secundario
28;Daniel;21;Newells;Soltero;Terciario
29;Nicolás;30;Newells;Casado;Secundario
30;Yago;26;Gimnasia LP;Casado;Secundario
31;Mariano;26;Racing;Soltero;Secundario
32;Javier;34;Rosario Central;Soltero;Secundario
33;Adrián;20;Estudiantes;Soltero;Terciario
34;Yago;25;Rosario Central;Soltero;Terciario
35;Adrián;66;Estudiantes;Soltero;Secundario
36;Alejo;33;Estudiantes;Casado;Terciario
37;Nicolás;34;Independiente;Casado;Universitario
38;Javier;64;Racing;Casado;Terciario
39;Alejo;44;Gimnasia LP;Soltero;Secundario
40;Mariano;28;Rosario Central;Casado;Terciario
41;Martín;58;River;Soltero;Terciario
42;Adrián;67;Estudiantes;Soltero;Secundario
43;Santiago;65;Boca;Soltero;Secundario
44;Federico;24;Huracán;Casado;Secundario
45;Mariano;48;Rosario Central;Casado;Universitario
46;Matías;30;Independiente;Casado;Terciario
47;Mariano;23;Racing;Casado;Secundario
48;Luis;51;River;Casado;Universitario
49;Enrique;34;San Lorenzo;Casado;Secundario
50;Federico;51;San Lorenzo;Soltero;Secundario
51;Alejandro;52;Boca;Casado;Secundario
52;Fernando;50;Newells;Casado;Terciario
53;Alejandro;48;Newells;Casado;Secundario
54;Mauro;18;Independiente;Soltero;Universitario
55;Nicolás;63;Huracán;Casado;Universitario
56;Alejo;70;Newells;Soltero;Universitario
57;Enrique;57;San Lorenzo;Soltero;Terciario
58;Marcelo;64;Huracán;Soltero;Universitario
59;Daniel;21;Gimnasia LP;Casado;Terciario
60;Fernando;28;Independiente;Casado;Secundario
61;Adrián;37;Huracán;Soltero;Secundario
62;Juan;37;River;Soltero;Universitario
63;Anibal;47;San Lorenzo;Casado;Terciario
64;Fernando;67;Gimnasia LP;Soltero;Universitario
65;Juan;22;Gimnasia LP;Casado;Terciario
66;Mariano;23;Gimnasia LP;Casado;Universitario
67;Juan;25;San Lorenzo;Casado;Terciario
68;Santiago;32;Independiente;Soltero;Terciario
69;Mauro;57;San Lorenzo;Casado;Secundario
70;Luis;68;Rosario Central;Soltero;Universitario
71;Santiago;37;River;Soltero;Secundario
72;Federico;60;Boca;Soltero;Secundario
73;Alejandro;25;Estudiantes;Soltero;Secundario
74;Mauro;60;Racing;Casado;Universitario
75;Martín;69;Velez;Soltero;Secundario
76;Juan;64;River;Casado;Universitario
77;Nicolás;37;Rosario Central;Soltero;Terciario
78;Federico;35;Estudiantes;Casado;Secundario
79;Martín;35;San Lorenzo;Casado;Terciario
80;Enrique;28;Huracán;Casado;Universitario
81;Martín;20;San Lorenzo;Soltero;Universitario
82;Federico;58;Estudiantes;Soltero;Terciario
83;Javier;52;Newells;Casado;Terciario
84;Mariano;65;Velez;Soltero;Universitario
85;Yago;43;River;Casado;Terciario
86;Alejandro;23;Newells;Casado;Terciario
87;Anibal;50;Gimnasia LP;Casado;Terciario
88;Anibal;47;Velez;Soltero;Universitario
89;Enrique;55;Estudiantes;Casado;Terciario
90;Anibal;59;Independiente;Soltero;Secundario
91;Mariano;64;Estudiantes;Casado;Universitario
92;Mariano;32;Independiente;Casado;Universitario
93;Yago;38;Rosario Central;Casado;Universitario
94;Luis;22;Velez;Soltero;Terciario
95;Agustín;24;Estudiantes;Soltero;Universitario
96;Nicolás;68;Boca;Soltero;Universitario
97;Juan;53;Independiente;Casado;Universitario
98;Juan;25;Velez;Soltero;Secundario
99;Anibal;24;Gimnasia LP;Casado;Secundario
100;Enrique;40;Racing;Soltero;Secundario
101;Anibal;56;River;Casado;Secundario
102;Daniel;20;Gimnasia LP;Soltero;Terciario
103;Alejandro;59;Velez;Soltero;Secundario
104;Federico;47;Boca;Soltero;Secundario
105;Federico;30;Estudiantes;Casado;Universitario
106;Alejandro;52;Newells;Soltero;Universitario
107;Marcelo;60;Newells;Soltero;Terciario
108;Matías;48;Racing;Casado;Secundario
109;Alejandro;25;Racing;Soltero;Secundario
110;Daniel;66;Rosario Central;Soltero;Terciario
111;Fernando;60;Velez;Casado;Secundario
112;Martín;61;Boca;Soltero;Secundario
113;Nicolás;38;Independiente;Casado;Universitario
114;Martín;35;Racing;Casado;Universitario
115;Adrián;36;Racing;Casado;Universitario
116;Yago;51;Newells;Casado;Secundario
117;Enrique;23;San Lorenzo;Soltero;Secundario
118;Anibal;19;Racing;Soltero;Terciario
119;Juan;58;Newells;Soltero;Universitario
120;Federico;67;San Lorenzo;Soltero;Secundario
121;Luis;47;Rosario Central;Casado;Secundario
122;Martín;47;San Lorenzo;Casado;Universitario
123;Yago;25;Racing;Casado;Terciario
124;Matías;62;Estudiantes;Soltero;Universitario
125;Anibal;64;Rosario Central;Soltero;Universitario
126;Mauro;53;San Lorenzo;Casado;Secundario
127;Federico;42;Gimnasia LP;Casado;Secundario
128;Nicolás;47;Huracán;Casado;Secundario
129;Matías;38;Newells;Soltero;Terciario
130;Daniel;32;Velez;Casado;Secundario
131;Marcelo;20;Boca;Casado;Secundario
132;Juan;30;Boca;Soltero;Terciario
133;Marcelo;29;Rosario Central;Casado;Terciario
134;Marcelo;65;San Lorenzo;Casado;Secundario
135;Anibal;63;Rosario Central;Soltero;Universitario
136;Fernando;28;Racing;Soltero;Universitario
137;Alejo;32;Newells;Soltero;Terciario
138;Enrique;31;Independiente;Soltero;Terciario
139;Adrián;42;River;Soltero;Terciario
140;Anibal;28;Racing;Casado;Secundario
